Location,Site,Section,Quadrat,WE..ft.from.HTL.,Phylum,Order,Number.of.individuals
A1,1,A,1,27,Annelida,Monostilifera,0
A1,1,A,1,27,Annelida,Phyllodocida,0
A1,1,A,1,27,Arthropoda,Amphipoda,0
A1,1,A,1,27,Arthropoda,Decapoda,0
A1,1,A,1,27,Arthropoda,Sessilia,0
A1,1,A,1,27,Echinodermata,Clypeasteroida,0
A1,1,A,1,27,Mollusca,Cardiida,0
A1,1,A,1,27,Mollusca,Littorinimorpha,0
A1,1,A,1,27,Mollusca,Ostreoida,0
A1,1,A,1,27,Mollusca,Patellogastropoda,0
A1,1,A,1,27,Mollusca,Venerida,0
A2,1,A,2,49,Annelida,Monostilifera,0
A2,1,A,2,49,Annelida,Phyllodocida,0
A2,1,A,2,49,Arthropoda,Amphipoda,0
A2,1,A,2,49,Arthropoda,Decapoda,0
A2,1,A,2,49,Arthropoda,Sessilia,0
A2,1,A,2,49,Echinodermata,Clypeasteroida,0
A2,1,A,2,49,Mollusca,Cardiida,0
A2,1,A,2,49,Mollusca,Littorinimorpha,0
A2,1,A,2,49,Mollusca,Ostreoida,0
A2,1,A,2,49,Mollusca,Patellogastropoda,0
A2,1,A,2,49,Mollusca,Venerida,0
A3,1,A,3,3,Annelida,Monostilifera,0
A3,1,A,3,3,Annelida,Phyllodocida,0
A3,1,A,3,3,Arthropoda,Amphipoda,30
A3,1,A,3,3,Arthropoda,Decapoda,0
A3,1,A,3,3,Arthropoda,Sessilia,0
A3,1,A,3,3,Echinodermata,Clypeasteroida,0
A3,1,A,3,3,Mollusca,Cardiida,0
A3,1,A,3,3,Mollusca,Littorinimorpha,0
A3,1,A,3,3,Mollusca,Ostreoida,0
A3,1,A,3,3,Mollusca,Patellogastropoda,0
A3,1,A,3,3,Mollusca,Venerida,0
A4,1,A,4,8,Annelida,Monostilifera,0
A4,1,A,4,8,Annelida,Phyllodocida,0
A4,1,A,4,8,Arthropoda,Amphipoda,1
A4,1,A,4,8,Arthropoda,Decapoda,0
A4,1,A,4,8,Arthropoda,Sessilia,0
A4,1,A,4,8,Echinodermata,Clypeasteroida,0
A4,1,A,4,8,Mollusca,Cardiida,0
A4,1,A,4,8,Mollusca,Littorinimorpha,0
A4,1,A,4,8,Mollusca,Ostreoida,0
A4,1,A,4,8,Mollusca,Patellogastropoda,0
A4,1,A,4,8,Mollusca,Venerida,0
A5,1,A,5,14,Annelida,Monostilifera,0
A5,1,A,5,14,Annelida,Phyllodocida,0
A5,1,A,5,14,Arthropoda,Amphipoda,0
A5,1,A,5,14,Arthropoda,Decapoda,0
A5,1,A,5,14,Arthropoda,Sessilia,0
A5,1,A,5,14,Echinodermata,Clypeasteroida,0
A5,1,A,5,14,Mollusca,Cardiida,0
A5,1,A,5,14,Mollusca,Littorinimorpha,0
A5,1,A,5,14,Mollusca,Ostreoida,0
A5,1,A,5,14,Mollusca,Patellogastropoda,0
A5,1,A,5,14,Mollusca,Venerida,0
A6,1,A,6,30,Annelida,Monostilifera,0
A6,1,A,6,30,Annelida,Phyllodocida,0
A6,1,A,6,30,Arthropoda,Amphipoda,0
A6,1,A,6,30,Arthropoda,Decapoda,0
A6,1,A,6,30,Arthropoda,Sessilia,0
A6,1,A,6,30,Echinodermata,Clypeasteroida,0
A6,1,A,6,30,Mollusca,Cardiida,0
A6,1,A,6,30,Mollusca,Littorinimorpha,0
A6,1,A,6,30,Mollusca,Ostreoida,0
A6,1,A,6,30,Mollusca,Patellogastropoda,0
A6,1,A,6,30,Mollusca,Venerida,0
A7,1,A,7,7,Annelida,Monostilifera,0
A7,1,A,7,7,Annelida,Phyllodocida,0
A7,1,A,7,7,Arthropoda,Amphipoda,0
A7,1,A,7,7,Arthropoda,Decapoda,0
A7,1,A,7,7,Arthropoda,Sessilia,0
A7,1,A,7,7,Echinodermata,Clypeasteroida,0
A7,1,A,7,7,Mollusca,Cardiida,0
A7,1,A,7,7,Mollusca,Littorinimorpha,0
A7,1,A,7,7,Mollusca,Ostreoida,0
A7,1,A,7,7,Mollusca,Patellogastropoda,0
A7,1,A,7,7,Mollusca,Venerida,0
A8,1,A,8,27,Annelida,Monostilifera,0
A8,1,A,8,27,Annelida,Phyllodocida,0
A8,1,A,8,27,Arthropoda,Amphipoda,0
A8,1,A,8,27,Arthropoda,Decapoda,0
A8,1,A,8,27,Arthropoda,Sessilia,0
A8,1,A,8,27,Echinodermata,Clypeasteroida,0
A8,1,A,8,27,Mollusca,Cardiida,0
A8,1,A,8,27,Mollusca,Littorinimorpha,0
A8,1,A,8,27,Mollusca,Ostreoida,0
A8,1,A,8,27,Mollusca,Patellogastropoda,0
A8,1,A,8,27,Mollusca,Venerida,0
A9,1,A,9,33,Annelida,Monostilifera,0
A9,1,A,9,33,Annelida,Phyllodocida,0
A9,1,A,9,33,Arthropoda,Amphipoda,0
A9,1,A,9,33,Arthropoda,Decapoda,0
A9,1,A,9,33,Arthropoda,Sessilia,0
A9,1,A,9,33,Echinodermata,Clypeasteroida,0
A9,1,A,9,33,Mollusca,Cardiida,0
A9,1,A,9,33,Mollusca,Littorinimorpha,0
A9,1,A,9,33,Mollusca,Ostreoida,0
A9,1,A,9,33,Mollusca,Patellogastropoda,0
A9,1,A,9,33,Mollusca,Venerida,0
D1,1,D,1,76,Annelida,Monostilifera,0
D1,1,D,1,76,Annelida,Phyllodocida,0
D1,1,D,1,76,Arthropoda,Amphipoda,0
D1,1,D,1,76,Arthropoda,Decapoda,0
D1,1,D,1,76,Arthropoda,Sessilia,0
D1,1,D,1,76,Echinodermata,Clypeasteroida,0
D1,1,D,1,76,Mollusca,Cardiida,0
D1,1,D,1,76,Mollusca,Littorinimorpha,0
D1,1,D,1,76,Mollusca,Ostreoida,0
D1,1,D,1,76,Mollusca,Patellogastropoda,0
D1,1,D,1,76,Mollusca,Venerida,0
D2,1,D,2,94,Annelida,Monostilifera,0
D2,1,D,2,94,Annelida,Phyllodocida,0
D2,1,D,2,94,Arthropoda,Amphipoda,0
D2,1,D,2,94,Arthropoda,Decapoda,30
D2,1,D,2,94,Arthropoda,Decapoda,3
D2,1,D,2,94,Arthropoda,Sessilia,1640
D2,1,D,2,94,Echinodermata,Clypeasteroida,0
D2,1,D,2,94,Mollusca,Cardiida,0
D2,1,D,2,94,Mollusca,Littorinimorpha,80
D2,1,D,2,94,Mollusca,Littorinimorpha,1
D2,1,D,2,94,Mollusca,Ostreoida,1
D2,1,D,2,94,Mollusca,Ostreoida,1
D2,1,D,2,94,Mollusca,Ostreoida,5
D2,1,D,2,94,Mollusca,Patellogastropoda,1
D2,1,D,2,94,Mollusca,Patellogastropoda,2
D2,1,D,2,94,Mollusca,Venerida,2
D3,1,D,3,81,Annelida,Monostilifera,0
D3,1,D,3,81,Annelida,Phyllodocida,0
D3,1,D,3,81,Arthropoda,Amphipoda,0
D3,1,D,3,81,Arthropoda,Decapoda,1
D3,1,D,3,81,Arthropoda,Sessilia,1
D3,1,D,3,81,Echinodermata,Clypeasteroida,0
D3,1,D,3,81,Mollusca,Cardiida,24
D3,1,D,3,81,Mollusca,Cardiida,8
D3,1,D,3,81,Mollusca,Littorinimorpha,0
D3,1,D,3,81,Mollusca,Ostreoida,1
D3,1,D,3,81,Mollusca,Ostreoida,1
D3,1,D,3,81,Mollusca,Patellogastropoda,1
D3,1,D,3,81,Mollusca,Patellogastropoda,1
D3,1,D,3,81,Mollusca,Patellogastropoda,1
D3,1,D,3,81,Mollusca,Patellogastropoda,1
D3,1,D,3,81,Mollusca,Patellogastropoda,1
D3,1,D,3,81,Mollusca,Patellogastropoda,1
D3,1,D,3,81,Mollusca,Venerida,0
D4,1,D,4,94,Annelida,Monostilifera,0
D4,1,D,4,94,Annelida,Phyllodocida,4
D4,1,D,4,94,Arthropoda,Amphipoda,0
D4,1,D,4,94,Arthropoda,Decapoda,32
D4,1,D,4,94,Arthropoda,Sessilia,1850
D4,1,D,4,94,Echinodermata,Clypeasteroida,0
D4,1,D,4,94,Mollusca,Cardiida,26
D4,1,D,4,94,Mollusca,Littorinimorpha,0
D4,1,D,4,94,Mollusca,Ostreoida,64
D4,1,D,4,94,Mollusca,Ostreoida,54
D4,1,D,4,94,Mollusca,Patellogastropoda,0
D4,1,D,4,94,Mollusca,Venerida,2
D4,1,D,4,94,Mollusca,Venerida,3
D5,1,D,5,81,Annelida,Monostilifera,0
D5,1,D,5,81,Annelida,Phyllodocida,2
D5,1,D,5,81,Arthropoda,Amphipoda,0
D5,1,D,5,81,Arthropoda,Decapoda,1
D5,1,D,5,81,Arthropoda,Decapoda,22
D5,1,D,5,81,Arthropoda,Sessilia,1870
D5,1,D,5,81,Echinodermata,Clypeasteroida,0
D5,1,D,5,81,Mollusca,Cardiida,44
D5,1,D,5,81,Mollusca,Littorinimorpha,110
D5,1,D,5,81,Mollusca,Ostreoida,18
D5,1,D,5,81,Mollusca,Ostreoida,24
D5,1,D,5,81,Mollusca,Patellogastropoda,0
D5,1,D,5,81,Mollusca,Venerida,5
D6,1,D,6,76,Annelida,Monostilifera,0
D6,1,D,6,76,Annelida,Phyllodocida,0
D6,1,D,6,76,Arthropoda,Amphipoda,0
D6,1,D,6,76,Arthropoda,Decapoda,1
D6,1,D,6,76,Arthropoda,Sessilia,1970
D6,1,D,6,76,Echinodermata,Clypeasteroida,0
D6,1,D,6,76,Mollusca,Cardiida,0
D6,1,D,6,76,Mollusca,Littorinimorpha,145
D6,1,D,6,76,Mollusca,Ostreoida,25
D6,1,D,6,76,Mollusca,Ostreoida,28
D6,1,D,6,76,Mollusca,Patellogastropoda,18
D6,1,D,6,76,Mollusca,Venerida,1
D7,1,D,7,94,Annelida,Monostilifera,0
D7,1,D,7,94,Annelida,Phyllodocida,0
D7,1,D,7,94,Arthropoda,Amphipoda,0
D7,1,D,7,94,Arthropoda,Decapoda,3
D7,1,D,7,94,Arthropoda,Decapoda,10
D7,1,D,7,94,Arthropoda,Sessilia,1290
D7,1,D,7,94,Echinodermata,Clypeasteroida,0
D7,1,D,7,94,Mollusca,Cardiida,22
D7,1,D,7,94,Mollusca,Littorinimorpha,0
D7,1,D,7,94,Mollusca,Ostreoida,18
D7,1,D,7,94,Mollusca,Ostreoida,26
D7,1,D,7,94,Mollusca,Patellogastropoda,2
D7,1,D,7,94,Mollusca,Patellogastropoda,1
D7,1,D,7,94,Mollusca,Venerida,12
D8,1,D,8,81,Annelida,Monostilifera,0
D8,1,D,8,81,Annelida,Phyllodocida,1
D8,1,D,8,81,Arthropoda,Amphipoda,0
D8,1,D,8,81,Arthropoda,Decapoda,2
D8,1,D,8,81,Arthropoda,Decapoda,28
D8,1,D,8,81,Arthropoda,Sessilia,1600
D8,1,D,8,81,Echinodermata,Clypeasteroida,0
D8,1,D,8,81,Mollusca,Cardiida,31
D8,1,D,8,81,Mollusca,Littorinimorpha,170
D8,1,D,8,81,Mollusca,Ostreoida,16
D8,1,D,8,81,Mollusca,Ostreoida,28
D8,1,D,8,81,Mollusca,Patellogastropoda,0
D8,1,D,8,81,Mollusca,Venerida,0
D9,1,D,9,76,Annelida,Monostilifera,0
D9,1,D,9,76,Annelida,Phyllodocida,1
D9,1,D,9,76,Arthropoda,Amphipoda,0
D9,1,D,9,76,Arthropoda,Decapoda,42
D9,1,D,9,76,Arthropoda,Sessilia,1470
D9,1,D,9,76,Echinodermata,Clypeasteroida,0
D9,1,D,9,76,Mollusca,Cardiida,134
D9,1,D,9,76,Mollusca,Cardiida,59
D9,1,D,9,76,Mollusca,Littorinimorpha,150
D9,1,D,9,76,Mollusca,Ostreoida,25
D9,1,D,9,76,Mollusca,Ostreoida,14
D9,1,D,9,76,Mollusca,Patellogastropoda,0
D9,1,D,9,76,Mollusca,Venerida,1
E1,1,E,1,113,Annelida,Monostilifera,0
E1,1,E,1,113,Annelida,Phyllodocida,1
E1,1,E,1,113,Arthropoda,Amphipoda,0
E1,1,E,1,113,Arthropoda,Decapoda,3
E1,1,E,1,113,Arthropoda,Sessilia,26
E1,1,E,1,113,Echinodermata,Clypeasteroida,12
E1,1,E,1,113,Mollusca,Cardiida,0
E1,1,E,1,113,Mollusca,Littorinimorpha,1
E1,1,E,1,113,Mollusca,Ostreoida,5
E1,1,E,1,113,Mollusca,Patellogastropoda,0
E1,1,E,1,113,Mollusca,Venerida,1
E2,1,E,2,105,Annelida,Monostilifera,0
E2,1,E,2,105,Annelida,Phyllodocida,0
E2,1,E,2,105,Arthropoda,Amphipoda,0
E2,1,E,2,105,Arthropoda,Decapoda,2
E2,1,E,2,105,Arthropoda,Decapoda,30
E2,1,E,2,105,Arthropoda,Sessilia,178
E2,1,E,2,105,Echinodermata,Clypeasteroida,1
E2,1,E,2,105,Mollusca,Cardiida,9
E2,1,E,2,105,Mollusca,Littorinimorpha,0
E2,1,E,2,105,Mollusca,Ostreoida,1
E2,1,E,2,105,Mollusca,Patellogastropoda,0
E2,1,E,2,105,Mollusca,Venerida,0
E3,1,E,3,121,Annelida,Monostilifera,1
E3,1,E,3,121,Annelida,Phyllodocida,1
E3,1,E,3,121,Arthropoda,Amphipoda,0
E3,1,E,3,121,Arthropoda,Decapoda,2
E3,1,E,3,121,Arthropoda,Decapoda,3
E3,1,E,3,121,Arthropoda,Sessilia,0
E3,1,E,3,121,Echinodermata,Clypeasteroida,10
E3,1,E,3,121,Mollusca,Cardiida,1
E3,1,E,3,121,Mollusca,Littorinimorpha,0
E3,1,E,3,121,Mollusca,Ostreoida,0
E3,1,E,3,121,Mollusca,Patellogastropoda,0
E3,1,E,3,121,Mollusca,Venerida,0
H1,1,H,1,171,Annelida,Monostilifera,0
H1,1,H,1,171,Annelida,Phyllodocida,0
H1,1,H,1,171,Arthropoda,Amphipoda,0
H1,1,H,1,171,Arthropoda,Decapoda,0
H1,1,H,1,171,Arthropoda,Sessilia,0
H1,1,H,1,171,Echinodermata,Clypeasteroida,0
H1,1,H,1,171,Mollusca,Cardiida,0
H1,1,H,1,171,Mollusca,Littorinimorpha,0
H1,1,H,1,171,Mollusca,Ostreoida,0
H1,1,H,1,171,Mollusca,Patellogastropoda,0
H1,1,H,1,171,Mollusca,Venerida,0
H2,1,H,2,196,Annelida,Monostilifera,0
H2,1,H,2,196,Annelida,Phyllodocida,0
H2,1,H,2,196,Arthropoda,Amphipoda,0
H2,1,H,2,196,Arthropoda,Decapoda,4
H2,1,H,2,196,Arthropoda,Sessilia,0
H2,1,H,2,196,Echinodermata,Clypeasteroida,0
H2,1,H,2,196,Mollusca,Cardiida,1
H2,1,H,2,196,Mollusca,Littorinimorpha,0
H2,1,H,2,196,Mollusca,Ostreoida,0
H2,1,H,2,196,Mollusca,Patellogastropoda,0
H2,1,H,2,196,Mollusca,Venerida,0
H3,1,H,3,161,Annelida,Monostilifera,0
H3,1,H,3,161,Annelida,Phyllodocida,0
H3,1,H,3,161,Arthropoda,Amphipoda,0
H3,1,H,3,161,Arthropoda,Decapoda,1
H3,1,H,3,161,Arthropoda,Sessilia,0
H3,1,H,3,161,Echinodermata,Clypeasteroida,2
H3,1,H,3,161,Mollusca,Cardiida,1
H3,1,H,3,161,Mollusca,Littorinimorpha,0
H3,1,H,3,161,Mollusca,Ostreoida,0
H3,1,H,3,161,Mollusca,Patellogastropoda,0
H3,1,H,3,161,Mollusca,Venerida,2
H4,1,H,4,171,Annelida,Monostilifera,0
H4,1,H,4,171,Annelida,Phyllodocida,0
H4,1,H,4,171,Arthropoda,Amphipoda,0
H4,1,H,4,171,Arthropoda,Decapoda,5
H4,1,H,4,171,Arthropoda,Sessilia,0
H4,1,H,4,171,Echinodermata,Clypeasteroida,0
H4,1,H,4,171,Mollusca,Cardiida,0
H4,1,H,4,171,Mollusca,Littorinimorpha,0
H4,1,H,4,171,Mollusca,Ostreoida,0
H4,1,H,4,171,Mollusca,Patellogastropoda,0
H4,1,H,4,171,Mollusca,Venerida,1
H5,1,H,5,161,Annelida,Monostilifera,0
H5,1,H,5,161,Annelida,Phyllodocida,0
H5,1,H,5,161,Arthropoda,Amphipoda,0
H5,1,H,5,161,Arthropoda,Decapoda,6
H5,1,H,5,161,Arthropoda,Sessilia,0
H5,1,H,5,161,Echinodermata,Clypeasteroida,0
H5,1,H,5,161,Mollusca,Cardiida,0
H5,1,H,5,161,Mollusca,Littorinimorpha,0
H5,1,H,5,161,Mollusca,Ostreoida,1
H5,1,H,5,161,Mollusca,Patellogastropoda,0
H5,1,H,5,161,Mollusca,Venerida,1
H6,1,H,6,196,Annelida,Monostilifera,0
H6,1,H,6,196,Annelida,Phyllodocida,1
H6,1,H,6,196,Arthropoda,Amphipoda,0
H6,1,H,6,196,Arthropoda,Decapoda,3
H6,1,H,6,196,Arthropoda,Sessilia,0
H6,1,H,6,196,Echinodermata,Clypeasteroida,0
H6,1,H,6,196,Mollusca,Cardiida,1
H6,1,H,6,196,Mollusca,Littorinimorpha,0
H6,1,H,6,196,Mollusca,Ostreoida,0
H6,1,H,6,196,Mollusca,Patellogastropoda,0
H6,1,H,6,196,Mollusca,Venerida,0
H7,1,H,7,171,Annelida,Monostilifera,0
H7,1,H,7,171,Annelida,Phyllodocida,0
H7,1,H,7,171,Arthropoda,Amphipoda,0
H7,1,H,7,171,Arthropoda,Decapoda,5
H7,1,H,7,171,Arthropoda,Sessilia,0
H7,1,H,7,171,Echinodermata,Clypeasteroida,0
H7,1,H,7,171,Mollusca,Cardiida,0
H7,1,H,7,171,Mollusca,Littorinimorpha,0
H7,1,H,7,171,Mollusca,Ostreoida,0
H7,1,H,7,171,Mollusca,Patellogastropoda,0
H7,1,H,7,171,Mollusca,Venerida,1
H8,1,H,8,161,Annelida,Monostilifera,0
H8,1,H,8,161,Annelida,Phyllodocida,1
H8,1,H,8,161,Annelida,Phyllodocida,1
H8,1,H,8,161,Arthropoda,Amphipoda,0
H8,1,H,8,161,Arthropoda,Decapoda,0
H8,1,H,8,161,Arthropoda,Sessilia,0
H8,1,H,8,161,Echinodermata,Clypeasteroida,0
H8,1,H,8,161,Mollusca,Cardiida,2
H8,1,H,8,161,Mollusca,Littorinimorpha,0
H8,1,H,8,161,Mollusca,Ostreoida,1
H8,1,H,8,161,Mollusca,Patellogastropoda,0
H8,1,H,8,161,Mollusca,Venerida,1
H8,1,H,8,161,Mollusca,Venerida,1
H9,1,H,9,196,Annelida,Monostilifera,0
H9,1,H,9,196,Annelida,Phyllodocida,0
H9,1,H,9,196,Arthropoda,Amphipoda,0
H9,1,H,9,196,Arthropoda,Decapoda,2
H9,1,H,9,196,Arthropoda,Sessilia,0
H9,1,H,9,196,Echinodermata,Clypeasteroida,0
H9,1,H,9,196,Mollusca,Cardiida,0
H9,1,H,9,196,Mollusca,Littorinimorpha,0
H9,1,H,9,196,Mollusca,Ostreoida,0
H9,1,H,9,196,Mollusca,Patellogastropoda,0
H9,1,H,9,196,Mollusca,Venerida,1
